"Framework requirement","Framework code","Title","ID","UID","Url","Description","Description modified?","Evidence status","Domain","Owner"
"Article 5","Article 5","Article 5.1 - ICT Risk Governance Framework","CPL-191","gwsr0ieg","https://app.eu.vanta.com/frameworks/dora?controlId=gwsr0ieg","Financial entities shall have in place an internal governance and control framework that ensures an effective and prudent management of ICT risk, in accordance with Article 6(4), in order to achieve a high level of digital operational resilience.","No","Needs evidence","COMPLIANCE",""
"Article 5","Article 5","Article 5.2 - Management Body ICT Risk Oversight","CPL-192","lsd40bkh","https://app.eu.vanta.com/frameworks/dora?controlId=lsd40bkh","The management body of the financial entity shall define, approve, oversee and be responsible for the implementation of all arrangements related to the ICT risk management framework referred to in Article 6(1). For the purposes of the first subparagraph, the management body shall:

(a) bear the ultimate responsibility for managing the financial entity’s ICT risk; 

(b) put in place policies that aim to ensure the maintenance of high standards of availability, authenticity, integrity and confidentiality, of data; 

(c) set clear roles and responsibilities for all ICT-related functions and establish appropriate governance arrangements to ensure effective and timely communication, cooperation and coordination among those functions; 

(d) bear the overall responsibility for setting and approving the digital operational resilience strategy as referred to in Article 6(8), including the determination of the appropriate risk tolerance level of ICT risk of the financial entity, as referred to in Article 6(8), point (b); 

(e) approve, oversee and periodically review the implementation of the financial entity’s ICT business continuity policy and ICT response and recovery plans, referred to, respectively, in Article 11(1) and (3), which may be adopted as a dedicated specific policy forming an integral part of the financial entity’s overall business continuity policy and response and recovery plan; 

(f) approve and periodically review the financial entity’s ICT internal audit plans, ICT audits and material modifications to them; 

(g) allocate and periodically review the appropriate budget to fulfil the financial entity’s digital operational resilience needs in respect of all types of resources, including relevant ICT security awareness programmes and digital operational resilience training referred to in Article 13(6), and ICT skills for all staff; 

(h) approve and periodically review the financial entity’s policy on arrangements regarding the use of ICT services provided by ICT third-party service providers; 

(i) put in place, at corporate level, reporting channels enabling it to be duly informed of the following:
(i) arrangements concluded with ICT third-party service providers on the use of ICT services, 
(ii) any relevant planned material changes regarding the ICT third-party service providers, 
(iii) the potential impact of such changes on the critical or important functions subject to those arrangements, including a risk analysis summary to assess the impact of those changes, and at least major ICT-related incidents and their impact, as well as response, recovery and corrective measures.","No","Needs evidence","COMPLIANCE",""
"Article 5","Article 5","Article 5.4 - Management Body ICT Risk Competency","SAT-87","nj8aj8j9","https://app.eu.vanta.com/frameworks/dora?controlId=nj8aj8j9","Members of the management body of the financial entity shall actively keep up to date with sufficient knowledge and skills to understand and assess ICT risk and its impact on the operations of the financial entity, including by following specific training on a regular basis, commensurate to the ICT risk being managed.","No","Needs evidence","SECURITY_AWARENESS_TRAINING",""
"Article 5","Article 5","Article 5.3 - Third-Party ICT Service Monitoring Manager","TPM-128","42am71af","https://app.eu.vanta.com/frameworks/dora?controlId=42am71af","Financial entities, other than microenterprises, shall establish a role in order to monitor the arrangements concluded with ICT third-party service providers on the use of ICT services, or shall designate a member of senior management as responsible for overseeing the related risk exposure and relevant documentation.","No","Needs evidence","THIRD_PARTY_MANAGEMENT",""
"Article 6","Article 6","Article 6.6 - ICT Risk Internal Audit","CPL-193","f4mw6a8j","https://app.eu.vanta.com/frameworks/dora?controlId=f4mw6a8j","The ICT risk management framework of financial entities, other than microenterprises, shall be subject to internal audit by auditors on a regular basis in line with the financial entities’ audit plan. Those auditors shall possess sufficient knowledge, skills and expertise in ICT risk, as well as appropriate independence. The frequency and focus of ICT audits shall be commensurate to the ICT risk of the financial entity.","No","Needs evidence","COMPLIANCE",""
"Article 6","Article 6","Article 6.7 - ICT Audit Findings Remediation Process","CPL-194","aaisoxzu","https://app.eu.vanta.com/frameworks/dora?controlId=aaisoxzu","Based on the conclusions from the internal audit review, financial entities shall establish a formal follow-up process, including rules for the timely verification and remediation of critical ICT audit findings.","No","Needs evidence","COMPLIANCE",""
"Article 6","Article 6","Article 6.2 - ICT Asset Protection Strategy","GOV-295","sq4jb6c6","https://app.eu.vanta.com/frameworks/dora?controlId=sq4jb6c6","The ICT risk management framework shall include at least strategies, policies, procedures, ICT protocols and tools that are necessary to duly and adequately protect all information assets and ICT assets, including computer software, hardware, servers, as well as to protect all relevant physical components and infrastructures, such as premises, data centres and sensitive designated areas, to ensure that all information assets and ICT assets are adequately protected from risks including damage and unauthorised access or usage.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 6","Article 6","Article 6.5 - ICT Risk Management Review and Improvement","GOV-296","pvzzz837","https://app.eu.vanta.com/frameworks/dora?controlId=pvzzz837","The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 6","Article 6","Article 6.1 - Comprehensive ICT Risk Management Framework","RSK-148","i1mhg4sp","https://app.eu.vanta.com/frameworks/dora?controlId=i1mhg4sp","Financial entities shall have a sound, comprehensive and well-documented ICT risk management framework as part of their overall risk management system, which enables them to address ICT risk quickly, efficiently and comprehensively and to ensure a high level of digital operational resilience.","No","OK","RISK_MANAGEMENT",""
"Article 6","Article 6","Article 6.3 - ICT Risk Mitigation and Reporting","RSK-149","rnuzgu17","https://app.eu.vanta.com/frameworks/dora?controlId=rnuzgu17","In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.","No","Needs evidence","RISK_MANAGEMENT",""
"Article 6","Article 6","Article 6.4 - ICT Risk Control Function","RSK-150","2yuxpcue","https://app.eu.vanta.com/frameworks/dora?controlId=2yuxpcue","Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.","No","OK","RISK_MANAGEMENT",""
"Article 6","Article 6","Article 6.8 - Digital Operational Resilience Strategy","RSK-151","mnf9hdb2","https://app.eu.vanta.com/frameworks/dora?controlId=mnf9hdb2","The ICT risk management framework shall include a digital operational resilience strategy setting out how the framework shall be implemented. To that end, the digital operational resilience strategy shall include methods to address ICT risk and attain specific ICT objectives, by: 

(a) explaining how the ICT risk management framework supports the financial entity’s business strategy and objectives;

(b) establishing the risk tolerance level for ICT risk, in accordance with the risk appetite of the financial entity, and analysing the impact tolerance for ICT disruptions; 

(c) setting out clear information security objectives, including key performance indicators and key risk metrics; 

(d) explaining the ICT reference architecture and any changes needed to reach specific business objectives; 

(e) outlining the different mechanisms put in place to detect ICT-related incidents, prevent their impact and provide protection from it; 

(f) evidencing the current digital operational resilience situation on the basis of the number of major ICT-related incidents reported and the effectiveness of preventive measures; 

(g) implementing digital operational resilience testing, in accordance with Chapter IV of this Regulation; 

(h) outlining a communication strategy in the event of ICT-related incidents the disclosure of which is required in accordance with Article 14.","No","Needs evidence","RISK_MANAGEMENT",""
"Article 6","Article 6","Article 6.9 - ICT Multi-Vendor Strategy","TPM-129","1yjg9rl0","https://app.eu.vanta.com/frameworks/dora?controlId=1yjg9rl0","Financial entities may, in the context of the digital operational resilience strategy referred to in paragraph 8 (Vanta Control - Article 6.8), define a holistic ICT multi-vendor strategy, at group or entity level, showing key dependencies on ICT third-party service providers and explaining the rationale behind the procurement mix of ICT third-party service providers. Financial entities may, in accordance with Union and national sectoral law, outsource the tasks of verifying compliance with ICT risk management requirements to intra-group or external undertakings. In case of such outsourcing, the financial entity remains fully responsible for the verification of compliance with the ICT risk management requirements.","No","Needs evidence","THIRD_PARTY_MANAGEMENT",""
"Article 7","Article 7","Article 7.1 - ICT systems, protocols and tools","RSK-152","esyr93hw","https://app.eu.vanta.com/frameworks/dora?controlId=esyr93hw","In order to address and manage ICT risk, financial entities shall use and maintain updated ICT systems, protocols and tools that are: 

(a) appropriate to the magnitude of operations supporting the conduct of their activities, in accordance with the proportionality principle as referred to in Article 4 (Article 4 principle of Proportionality says that Financial entities shall implement DORA taking into account their size and overall risk profile, and the nature, scale and complexity of their services, activities and operations); 

(b) reliable; 

(c) equipped with sufficient capacity to accurately process the data necessary for the performance of activities and the timely provision of services, and to deal with peak orders, message or transaction volumes, as needed, including where new technology is introduced; 

(d) technologically resilient in order to adequately deal with additional information processing needs as required under stressed market conditions or other adverse situations.","No","Needs evidence","RISK_MANAGEMENT",""
"Article 8","Article 8","Article 8.4 - Critical Asset Identification and Mapping","AST-137","9hsxolnv","https://app.eu.vanta.com/frameworks/dora?controlId=9hsxolnv","Financial entities shall identify all information assets and ICT assets, including those on remote sites, network resources and hardware equipment, and shall map those considered critical. They shall map the configuration of the information assets and ICT assets and the links and interdependencies between the different information assets and ICT assets.","No","Needs evidence","ASSET_MANAGEMENT",""
"Article 8","Article 8","Article 8.6 - Inventory Management and Updates","AST-138","1nftphd5","https://app.eu.vanta.com/frameworks/dora?controlId=1nftphd5","For the purposes of paragraphs 1, 4 and 5 (Vanta Controls - Article 8.1, 8.4, 8.5), financial entities shall maintain relevant inventories and update them periodically and every time any major change as referred to in paragraph 3 (Vanta Control - Article 8.3) occurs.","No","Needs evidence","ASSET_MANAGEMENT",""
"Article 8","Article 8","Article 8.1 - ICT Supported Business Functions","CPL-195","55qrotmn","https://app.eu.vanta.com/frameworks/dora?controlId=55qrotmn","As part of the ICT risk management framework referred to in Article 6(1), financial entities shall identify, classify and adequately document all ICT supported business functions, roles and responsibilities, the information assets and ICT assets supporting those functions, and their roles and dependencies in relation to ICT risk. Financial entities shall review as needed, and at least yearly, the adequacy of this classification and of any relevant documentation.","No","Needs evidence","COMPLIANCE",""
"Article 8","Article 8","Article 8.2 - Continuous ICT Risk Identification","GOV-297","u3ch9w20","https://app.eu.vanta.com/frameworks/dora?controlId=u3ch9w20","Financial entities shall, on a continuous basis, identify all sources of ICT risk, in particular the risk exposure to and from other financial entities, and assess cyber threats and ICT vulnerabilities relevant to their ICT supported business functions, information assets and ICT assets. Financial entities shall review on a regular basis, and at least yearly, the risk scenarios impacting them.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 8","Article 8","Article 8.3 - ICT Risk Assessment","RSK-153","odk6tc4s","https://app.eu.vanta.com/frameworks/dora?controlId=odk6tc4s","Financial entities, other than microenterprises, shall perform a risk assessment upon each major change in the network and information system infrastructure, in the processes or procedures affecting their ICT supported business functions, information assets or ICT assets.","No","OK","RISK_MANAGEMENT",""
"Article 8","Article 8","Article 8.5 - ICT Third-Party Service Dependency Management","RSK-154","20raklcv","https://app.eu.vanta.com/frameworks/dora?controlId=20raklcv","Financial entities shall identify and document all processes that are dependent on ICT third-party service providers, and shall identify interconnections with ICT third-party service providers that provide services that support critical or important functions.","No","Needs evidence","RISK_MANAGEMENT",""
"Article 8","Article 8","Article 8.7 - Legacy Systems Risk Assessment","RSK-155","1ci54hnb","https://app.eu.vanta.com/frameworks/dora?controlId=1ci54hnb","Financial entities, other than microenterprises, shall on a regular basis, and at least yearly, conduct a specific ICT risk assessment on all legacy ICT systems and, in any case before and after connecting technologies, applications or systems.","No","Needs evidence","RISK_MANAGEMENT",""
"Article 9","Article 9","Article 9.2 - ICT Security Policy Implementation","GOV-298","u10sx7ua","https://app.eu.vanta.com/frameworks/dora?controlId=u10sx7ua","Financial entities shall design, procure and implement ICT security policies, procedures, protocols and tools that aim to ensure the resilience, continuity and availability of ICT systems, in particular for those supporting critical or important functions, and to maintain high standards of availability, authenticity, integrity and confidentiality of data, whether at rest, in use or in transit.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 9","Article 9","Article 9.4 - Policies and documented information","GOV-299","18zs4mve","https://app.eu.vanta.com/frameworks/dora?controlId=18zs4mve","As part of the ICT risk management framework referred to in Article 6(1), financial entities shall: 

(a) develop and document an information security policy defining rules to protect the availability, authenticity, integrity and confidentiality of data, information assets and ICT assets, including those of their customers, where applicable; 

(b) following a risk-based approach, establish a sound network and infrastructure management structure using appropriate techniques, methods and protocols that may include implementing automated mechanisms to isolate affected information assets in the event of cyber-attacks; 

(c) implement policies that limit the physical or logical access to information assets and ICT assets to what is required for legitimate and approved functions and activities only, and establish to that end a set of policies, procedures and controls that address access rights and ensure a sound administration thereof; 

(d) implement policies and protocols for strong authentication mechanisms, based on relevant standards and dedicated control systems, and protection measures of cryptographic keys whereby data is encrypted based on results of approved data classification and ICT risk assessment processes; 

(e) implement documented policies, procedures and controls for ICT change management, including changes to software, hardware, firmware components, systems or security parameters, that are based on a risk assessment approach and are an integral part of the financial entity’s overall change management process, in order to ensure that all changes to ICT systems are recorded, tested, assessed, approved, implemented and verified in a controlled manner; 

(f) have appropriate and comprehensive documented policies for patches and updates. For the purposes of the first subparagraph, point (b), financial entities shall design the network connection infrastructure in a way that allows it to be instantaneously severed or segmented in order to minimise and prevent contagion, especially for interconnected financial processes. For the purposes of the first subparagraph, point (e), the ICT change management process shall be approved by appropriate lines of management and shall have specific protocols in place.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 9","Article 9","Article 9.1 - ICT Systems Security Monitoring","MON-299","xhv48y91","https://app.eu.vanta.com/frameworks/dora?controlId=xhv48y91","For the purposes of adequately protecting ICT systems and with a view to organising response measures, financial entities shall continuously monitor and control the security and functioning of ICT systems and tools and shall minimise the impact of ICT risk on ICT systems through the deployment of appropriate ICT security tools, policies and procedures.","No","Needs evidence","CONTINUOUS_MONITORING",""
"Article 9","Article 9","Article 9.3 - Appropriate ICT Solutions and Processes","MON-300","r0ahvcmr","https://app.eu.vanta.com/frameworks/dora?controlId=r0ahvcmr","In order to achieve the objectives referred to in paragraph 2 (Vanta Control - Article 9.2), financial entities shall use ICT solutions and processes that are appropriate in accordance with Article 4 (Article 4 principle of Proportionality says that Financial entities shall implement DORA taking into account their size and overall risk profile, and the nature, scale and complexity of their services, activities and operations). Those ICT solutions and processes shall: 

(a) ensure the security of the means of transfer of data; 

(b) minimise the risk of corruption or loss of data, unauthorised access and technical flaws that may hinder business activity; 

(c) prevent the lack of availability, the impairment of the authenticity and integrity, the breaches of confidentiality and the loss of data; 

(d) ensure that data is protected from risks arising from data management, including poor administration, processingrelated risks and human error.","No","Needs evidence","CONTINUOUS_MONITORING",""
"Article 10","Article 10","Article 10.1 - Anomalous Activity Detection","OPS-54","mksrj75b","https://app.eu.vanta.com/frameworks/dora?controlId=mksrj75b","Financial entities shall have in place mechanisms to promptly detect anomalous activities, in accordance with Article 17, including ICT network performance issues and ICT-related incidents, and to identify potential material single points of failure. All detection mechanisms referred to in the first subparagraph shall be regularly tested in accordance with Article 25.","No","Needs evidence","SECURITY_OPERATIONS",""
"Article 10","Article 10","Article 10.2 - Multi-Layered Detection Mechanisms","OPS-55","o4bdwpxn","https://app.eu.vanta.com/frameworks/dora?controlId=o4bdwpxn","The detection mechanisms referred to in paragraph 1 (Vanta Control - Article 10.1) shall enable multiple layers of control, define alert thresholds and criteria to trigger and initiate ICT-related incident response processes, including automatic alert mechanisms for relevant staff in charge of ICT-related incident response.","No","Needs evidence","SECURITY_OPERATIONS",""
"Article 10","Article 10","Article 10.3 - User Activity Monitoring","OPS-56","7e8p3ln7","https://app.eu.vanta.com/frameworks/dora?controlId=7e8p3ln7","Financial entities shall devote sufficient resources and capabilities to monitor user activity, the occurrence of ICT anomalies and ICT-related incidents, in particular cyber-attacks.","No","Needs evidence","SECURITY_OPERATIONS",""
"Article 10","Article 10","Article 10.4 - Trade Reports Integrity","OPS-57","z4koisk8","https://app.eu.vanta.com/frameworks/dora?controlId=z4koisk8","Data reporting service providers shall, in addition, have in place systems that can effectively check trade reports for completeness, identify omissions and obvious errors, and request re-transmission of those reports.","No","Needs evidence","SECURITY_OPERATIONS",""
"Article 11","Article 11","Article 11.1 - ICT Business Continuity Policy Development","BCD-162","ou8rl4dg","https://app.eu.vanta.com/frameworks/dora?controlId=ou8rl4dg","As part of the ICT risk management framework referred to in Article 6(1) and based on the identification requirements set out in Article 8, financial entities shall put in place a comprehensive ICT business continuity policy, which may be adopted as a dedicated specific policy, forming an integral part of the overall business continuity policy of the financial entity.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.2 - ICT Business Continuity Implementation","BCD-163","bpebubhh","https://app.eu.vanta.com/frameworks/dora?controlId=bpebubhh","Financial entities shall implement the ICT business continuity policy through dedicated, appropriate and documented arrangements, plans, procedures and mechanisms aiming to: 

(a) ensure the continuity of the financial entity’s critical or important functions; 

(b) quickly, appropriately and effectively respond to, and resolve, all ICT-related incidents in a way that limits damage and prioritises the resumption of activities and recovery actions; 

(c) activate, without delay, dedicated plans that enable containment measures, processes and technologies suited to each type of ICT-related incident and prevent further damage, as well as tailored response and recovery procedures established in accordance with Article 12; 

(d) estimate preliminary impacts, damages and losses; 

(e) set out communication and crisis management actions that ensure that updated information is transmitted to all relevant internal staff and external stakeholders in accordance with Article 14, and report to the competent authorities in accordance with Article 19.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.3 - ICT Response and Recovery Planning","BCD-164","w6iiy1gp","https://app.eu.vanta.com/frameworks/dora?controlId=w6iiy1gp","As part of the ICT risk management framework referred to in Article 6(1), financial entities shall implement associated ICT response and recovery plans which, in the case of financial entities other than microenterprises, shall be subject to independent internal audit reviews.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.4 - ICT Business Continuity Testing","BCD-165","su2zola0","https://app.eu.vanta.com/frameworks/dora?controlId=su2zola0","Financial entities shall put in place, maintain and periodically test appropriate ICT business continuity plans, notably with regard to critical or important functions outsourced or contracted through arrangements with ICT third-party service providers.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.5 - Business Impact Analysis (BIA) Execution","BCD-166","x5xodhv4","https://app.eu.vanta.com/frameworks/dora?controlId=x5xodhv4","As part of the overall business continuity policy, financial entities shall conduct a business impact analysis (BIA) of their exposures to severe business disruptions. Under the BIA, financial entities shall assess the potential impact of severe business disruptions by means of quantitative and qualitative criteria, using internal and external data and scenario analysis, as appropriate. The BIA shall consider the criticality of identified and mapped business functions, support processes, third-party dependencies and information assets, and their interdependencies. Financial entities shall ensure that ICT assets and ICT services are designed and used in full alignment with the BIA, in particular with regard to adequately ensuring the redundancy of all critical components.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.6 - ICT Continuity and Recovery Testing","BCD-167","0llx2j1z","https://app.eu.vanta.com/frameworks/dora?controlId=0llx2j1z","As part of their comprehensive ICT risk management, financial entities shall: 

(a) test the ICT business continuity plans and the ICT response and recovery plans in relation to ICT systems supporting all functions at least yearly, as well as in the event of any substantive changes to ICT systems supporting critical or important functions; 

(b) test the crisis communication plans established in accordance with Article 1For the purposes of the first subparagraph, point (a), financial entities, other than microenterprises, shall include in the testing plans scenarios of cyber-attacks and switchovers between the primary ICT infrastructure and the redundant capacity, backups and redundant facilities necessary to meet the obligations set out in Article 1 Financial entities shall regularly review their ICT business continuity policy and ICT response and recovery plans, taking into account the results of tests carried out in accordance with the first subparagraph and recommendations stemming from audit checks or supervisory reviews.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.7 - Crisis Management Function","BCD-168","lmrwognj","https://app.eu.vanta.com/frameworks/dora?controlId=lmrwognj","Financial entities, other than microenterprises, shall have a crisis management function, which, in the event of activation of their ICT business continuity plans or ICT response and recovery plans, shall, inter alia, set out clear procedures to manage internal and external crisis communications in accordance with Article 14.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.8 - Disruption Event Records Management","BCD-169","9qceze8d","https://app.eu.vanta.com/frameworks/dora?controlId=9qceze8d","Financial entities shall keep readily accessible records of activities before and during disruption events when their ICT business continuity plans and ICT response and recovery plans are activated.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 11","Article 11","Article 11.9 - ICT Business Continuity Tests Results","BCD-170","bynbxsoc","https://app.eu.vanta.com/frameworks/dora?controlId=bynbxsoc","Central securities depositories shall provide the competent authorities with copies of the results of the ICT business continuity tests, or of similar exercises. Financial entities, other than microenterprises, shall report to the competent authorities, upon their request, an estimation of aggregated annual costs and losses caused by major ICT-related incidents. In accordance with Article 16 of Regulations (EU) No 1093/2010, (EU) No 1094/2010 and (EU) No 1095/2010, the ESAs, through the Joint Committee, shall by 17 July 2024 develop common guidelines on the estimation of aggregated annual costs and losses referred to in paragraph 10.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
"Article 12","Article 12","Article 12.1 - Backup Policies and Procedures Development","BCD-171","fjnl29es","https://app.eu.vanta.com/frameworks/dora?controlId=fjnl29es","For the purpose of ensuring the restoration of ICT systems and data with minimum downtime, limited disruption and loss, as part of their ICT risk management framework, financial entities shall develop and document: 

(a) backup policies and procedures specifying the scope of the data that is subject to the backup and the minimum frequency of the backup, based on the criticality of information or the confidentiality level of the data; 

(b) restoration and recovery procedures and methods.","No","Needs evidence","BUSINESS_CONTINUITY_DISASTER_RECOVERY",""
